bigram,count
iran war,11
middle east,10
keir starmer,9
world cup,8
jet fuel,7
prime minister,6
conflict middle,5
fuel price,4
south african,4
large scale,3
exchange prisoner,3
catherine west,3
election result,3
giant profit,3
oil price,3
cancel flight,3
fuel shortage,3
house price,3
strait hormuz,3
live late,3
late update,3
war ukraine,3
trump tariff,3
spirit airline,3
war iran,3
cape verde,3
