term,idf
year,1.9993988340062996
say,2.2129729343043585
price,2.2617630984737906
war,2.3130563928613412
new,2.367123614131617
world,2.4242820279715653
ukrainian,2.4849066497880004
ukraine,2.4849066497880004
iran,2.5494451709255714
cost,2.618438042412523
