term,average_tf
drone,0.04405479831299313
attack,0.041170765438101393
region,0.022917504245363565
russian,0.014624264624264622
injure,0.011527706807471753
nikopol,0.011365387578979813
ukraine,0.010535080178535149
ukrainian,0.009897154440645118
people,0.00946316026683636
day,0.009383640248057629
