term,idf
drone,1.0793809267402221
attack,1.2335316065674804
region,1.5902065505062128
people,2.069779630768099
russian,2.1498223384416355
injure,2.1498223384416355
year,2.236833715431265
say,2.236833715431265
ukrainian,2.33214389523559
ukraine,2.33214389523559
