date,time,title,link,search_text
8 травня,23:08,Збірна України повернулася в елітний дивізіон чемпіонату світу через 19 років після вильоту,https://champion.com.ua/ukr/ice-hockey/zbirna-ukrajini-povernulasya-v-elitniy-divizion-chempionatu-svitu-cherez-19-rokiv-pislya-vilotu-1072608/,збірна україна повернутися елітний дивізіон чемпіонат світ виліт
8 травня,22:47,Відновлення авіасполучення з 13 аеропортами на півдні РФ після атаки дронів займе до трьох днів,https://www.ukr.net/cluster/main/Vidnovlennja_aviaspoluchennja_z_13_aeroportami_na_pivdni_RF_pislja_ataki_droniv_zajme_do_troh_dniv-69084309.html,відновлення авіасполучення аеропорт південь атака дрон зайняти три день
8 травня,22:25,У Генштабі ЗСУ підтвердили ураження підприємств з виробництва вибухівки й арсеналу ГРАУ «Кедровка»,https://www.ukr.net/cluster/main/U_Genshtabi_ZSU_pidtverdili_urazhennja_pidpriemstv_z_virobnictva_vibuhivki_j_arsenalu_GRAU_Kedrovka-69084187.html,генштаб зсу підтвердити ураження підприємство виробництво вибухівка арсенал грау кедровка
8 травня,22:11,Прощання зі спекою — українців попередили про різке похолодання та дощі 9 та 10 травня,https://www.ukr.net/cluster/main/Prowannja_zi_spekoju_ukrajinciv_poperedili_pro_rizke_poholodannja_ta_dowi_9_ta_10_travnja-69080020.html,прощання спека українець попередити різкий похолодання дощ травень
8 травня,20:40,Українські перехоплювачі P1-SUN вперше збили герберу з FPV-дронами (відео),https://www.ukr.net/cluster/main/Ukrajinski_perehopljuvachi_P1_SUN_vpershe_zbili_gerberu_z_FPV_dronami_video-69078431.html,український перехоплювач sun вперше збити гербера fpv дрон відео
8 травня,18:23,Швеція надала Україні обладнання для військових аеродромів — МОУ,https://www.ukr.net/cluster/main/Shvecija_nadala_Ukrajini_obladnannja_dlja_vijskovih_aerodromiv_MOU-69082512.html,швеція надати україна обладнання військовий аеродром моу
8 травня,17:47,"Дрони атакували Москву, Ярославль та столицю Чечні",https://www.ukr.net/cluster/main/Droni_atakuvali_Moskvu_Jaroslavl_ta_stolicju_Chechni-69082066.html,дрон атакувати москва ярославль столиця чечня
8 травня,16:15,"Іран атакував ОАЕ балістикою та дронами, є поранені",https://www.ukr.net/cluster/main/Iran_atakuvav_OAE_balistikoju_ta_dronami_e_poraneni-69081029.html,іран атакувати оае балістика дрон поранений
8 травня,15:56,В Україні гасять дев’ять масштабних пожеж на площі понад 2 тисячі гектарів,https://glavnoe.in.ua/news/v-ukrayini-hasyat-devyat-masshtabnyh-pozhezh-na-ploshhi-ponad-2-tysyachi-hektariv,україна гасити масштабний пожежа площа понад тисяча гектар
8 травня,15:16,"Пожежа на прикордонні Чернігівщини охопила 4,3 тис. га та пішла у бік Росії",https://www.ukr.net/cluster/main/Pozhezha_na_prikordonni_Chernigivwini_ohopila_4_3_tis_ga_ta_pishla_u_bik_Rosiji-69079610.html,пожежа прикордонний чернігівщина охопити тис піти бік росія
8 травня,14:59,Через удар РФ по дитячому садку в Сумах загинули дві працівниці закладу: що про них відомо,https://www.ukr.net/cluster/main/Cherez_udar_RF_po_ditjachomu_sadku_v_Sumah_zaginuli_dvi_pracivnici_zakladu_wo_pro_nih_vidomo-69080084.html,удар дитячий садок суми загинути працівниця заклад відомо
8 травня,14:29,"Третя серія ""плівок Міндіча"": нові деталі втечі Цукермана і Міндіча",https://www.ukr.net/cluster/main/Tretja_serija_plivok_Mindicha_novi_detali_vtechi_Cukermana_i_Mindicha-69079816.html,третій серія плівка міндіча новий деталь втеча цукермана міндіча
8 травня,14:16,Португальські F-16 перехопили російські літаки над Балтійським морем,https://ua.news/ua/world/portugals-ki-f-16-perekhopili-rosiiski-litaki-nad-baltiiskim-morem,португальський перехопити російський літак балтійський море
8 травня,13:55,"""Азов"" заявив, що ""повертається"" до Маріуполя: що це означає (відео)",https://www.ukr.net/cluster/main/Azov_zajaviv_wo_povertaetsja_do_Mariupolja_wo_ce_oznachae_video-69077453.html,азов заявити повертатися маріуполь відео
8 травня,13:06,"США та Іран обмінялися ударами біля Ормузької протоки: Трамп не згоден, що це зрив перемир'я",https://www.ukr.net/cluster/main/SShA_ta_Iran_obminjalisja_udarami_bilja_Ormuzkoji_protoki_Tramp_ne_zgoden_wo_ce_zriv_peremir_ja-69076368.html,сша іран обмінялися удар ормузької протока трамп згодний зрив
8 травня,12:25,"«Безпілотник має бути збитий». Міністр оборони Латвії готовий піти у відставку через дрони, які вільно пролетіли над країною",https://www.ukr.net/cluster/main/Bezpilotnik_mae_buti_zbitij_Ministr_oboroni_Latviji_gotovij_piti_u_vidstavku_cherez_droni_jaki_vilno_proletili_nad_krajinoju-69078130.html,безпілотник збитий міністр оборона латвія готовий піти відставка дрон вільно пролетіти країна
8 травня,11:55,У парламенті Словаччини ініціюють резолюцію з засудженням поїздки Фіцо до Москви,https://www.eurointegration.com.ua/news/2026/05/8/7237162/,парламент словаччина ініціювати резолюція засудження поїздка фіцо москва
8 травня,11:16,"Україні може не вистачити грошей: ЄС знову обговорює заморожені активи Росії, - Politico",https://www.ukr.net/cluster/main/Ukrajini_mozhe_ne_vistachiti_groshej_ES_znovu_obgovorjue_zamorozheni_aktivi_Rosiji_Politico-69077075.html,україна вистачити гроші обговорювати заморожений актив росія politico
8 травня,10:57,Таблиця коефіцієнтів УЄФА: на якому місці Україна завершила сезон-2025/26 та що це дає клубам,https://www.rbc.ua/rus/entertainment/tablitsya-koefitsientiv-uefa-komu-mistsi-1778226904.html,таблиця коефіцієнт уєфа який місце україна завершити сезон давати клуб
8 травня,10:23,"БпЛА влучив у адмінбудівлю ""Аеронавігації"" Росії: тимчасово закрили 13 аеропортів",https://24tv.ua/zakrittya-aeroportiv-rosiyi-chomu-zupinili-robotu-detali_n3063961,бпла влучити адмінбудівля аеронавігація росія тимчасово закрити аеропорт
8 травня,10:09,"ППО збила 56 із 67 ворожих дронів, попри оголошене РФ “перемир’я”",https://www.ukr.net/cluster/main/PPO_zbila_56_iz_67_vorozhih_droniv_popri_ogoloshene_RF_peremir_ja-69076383.html,ппо збити ворожий дрон попри оголошений
8 травня,10:08,Іран запровадив нові правила для проходу суден Ормузькою протокою - CNN,https://unn.ua/news/iran-zaprovadyv-novi-pravyla-dlia-prokhodu-suden-ormuzkoiu-protokoiu,іран запровадити новий правило прохід судно ормузькою протока cnn
8 травня,10:08,Крістал Пелес 2:1 Шахтар. Ліга Конференцій. Відео,https://www.ukr.net/cluster/main/Kristal_Peles_2_1_Shahtar_Liga_Konferencij_Video-69074596.html,крістал пелес шахтар ліга конференція відео
8 травня,09:33,"Без ""Шахтаря"", але із Забарним: хто вийшов у фінали єврокубків та коли вирішальні матчі",https://www.rbc.ua/rus/entertainment/shahtarya-ale-iz-zabarnim-hto-viyshov-finali-1778221922.html,шахтар забарний вийти фінал єврокубок вирішальний матч
8 травня,08:55,"За добу на фронті – 208 боїв, найбільше – на Покровському та Гуляйпільському напрямках, – Генштаб",https://www.ukr.net/cluster/main/Za_dobu_na_fronti_208_bojiv_najbilshe_na_Pokrovskomu_ta_Guljajpilskomu_naprjamkah_Genshtab-69074804.html,доба фронт бій найбільше покровський гуляйпільський напрямок генштаб
8 травня,08:48,"Сили оборони ліквідували 1130 російських окупантів та 91 артсистему за добу, — Генштаб",https://www.ukr.net/cluster/main/Sili_oboroni_likviduvali_1130_rosijskih_okupantiv_ta_91_artsistemu_za_dobu_Genshtab-69075165.html,сила оборона ліквідувати російський окупант артсистема доба генштаб
