term,average_tf,idf,tf_idf,frequency,document_frequency
answer,0.00022026431718061675,5.424950017481403,0.0011949229113395162,1,1
anthem,0.0006633247253025469,4.7318028369214575,0.003138721816986738,3,2
anthony,0.00023185717597959656,5.424950017481403,0.0012578135908837011,1,1
anti,0.0006535314905358958,4.7318028369214575,0.0030923821609352606,2,2
anticipated,9.57670944263551e-05,5.424950017481403,0.0005195317005823982,1,1
antisemitic,6.384472961757008e-05,5.424950017481403,0.0003463544670549322,1,1
antisemitism,0.0003479537764157569,4.7318028369214575,0.001646448666361613,3,2
antoniou,0.00018355359765051394,5.424950017481403,0.00099576909278293,1,1
apologise,0.00015457145065306437,5.424950017481403,0.0008385423939224673,2,1
apology,0.00027533039647577095,5.424950017481403,0.0014936536391743952,1,1
app,0.00010164527181722009,4.7318028369214575,0.0004809653855443747,2,2
appear,8.407301305120152e-05,4.7318028369214575,0.0003978169216642101,2,2
applause,0.00027533039647577095,5.424950017481403,0.0014936536391743952,1,1
apply,0.001165166315520654,4.7318028369214575,0.0055133372772659525,2,2
appoint,0.0004405286343612335,5.424950017481403,0.0023898458226790324,1,1
appointment,0.00022026431718061675,5.424950017481403,0.0011949229113395162,1,1
approval,6.118453255017131e-05,5.424950017481403,0.0003319230309276433,2,1
approve,0.0006607929515418503,4.7318028369214575,0.0031267419627234306,2,2
araghchi,0.00033886818027787193,5.424950017481403,0.0018383429405223325,1,1
area,0.0010342599799004087,4.326337728813293,0.004474557972444816,3,3
aren,0.0002591344908007256,5.424950017481403,0.0014057916603994307,1,1
arm,3.496259002866932e-05,5.424950017481403,0.00018967030338722476,1,1
armed,0.006295753927912518,2.7168998163791924,0.0171049326907141,16,15
armenia,0.0019486240631615083,4.038655656361512,0.007869821594809378,5,4
armistice,0.0008565834557023983,4.7318028369214575,0.004053184025752594,2,2
army,0.003266565516585233,3.4790398684260895,0.01136451166502589,8,7
arrest,0.00013766519823788548,5.424950017481403,0.0007468268195871976,2,1
arrival,0.00018355359765051394,5.424950017481403,0.00099576909278293,1,1
arrive,0.00013072968445502442,4.7318028369214575,0.0006185870917741316,2,2
article,0.00011741867568689591,4.326337728813293,0.0005079928466915098,3,3
ash,0.0002591344908007256,5.424950017481403,0.0014057916603994307,1,1
ask,3.0592266275085654e-05,5.424950017481403,0.00016596151546382164,1,1
assassinate,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
assassination,0.00015733165512901194,5.424950017481403,0.0008535163652425114,1,1
assault,0.0006622325876018542,4.7318028369214575,0.0031335540367162917,3,2
assembly,8.009611533840609e-05,5.424950017481403,0.00043451742230527857,1,1
asset,0.00014210601108426886,5.424950017481403,0.0007709180073158168,1,1
assisted,0.0003671071953010279,5.424950017481403,0.00199153818556586,1,1
assure,0.00018355359765051394,5.424950017481403,0.00099576909278293,1,1
atrocity,6.992518005733865e-05,5.424950017481403,0.0003793406067744495,1,1
attack,0.0070370718560934875,2.534578259585238,0.017836009337593692,22,18
attempt,0.0006672031205248155,4.326337728813293,0.002886546033108472,3,3
attend,6.384472961757008e-05,5.424950017481403,0.0003463544670549322,1,1
atypical,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
australia,0.0002508565834557024,4.7318028369214575,0.0011870038932561171,2,2
australian,3.0592266275085654e-05,5.424950017481403,0.00016596151546382164,1,1
authority,0.00026762661070171546,4.326337728813293,0.001157843103113259,3,3
aviation,0.0001024485196188915,5.424950017481403,0.0005557780982974493,1,1
awaits,6.575054244197514e-05,5.424950017481403,0.00035669340637000475,1,1
away,0.0005244388504300399,4.7318028369214575,0.0024815412402566907,2,2
azov,0.0006293266205160478,5.424950017481403,0.0034140654609700455,1,1
baby,0.00012069277653732423,5.424950017481403,0.0006547522801860361,2,1
back,0.0008155404152339606,4.038655656361512,0.003293686910976051,5,4
backbone,0.0003146633102580239,5.424950017481403,0.0017070327304850228,1,1
backdrop,9.57670944263551e-05,5.424950017481403,0.0005195317005823982,1,1
backing,0.000465002447381302,4.7318028369214575,0.0022002998996942654,2,2
backlash,2.6861502095197165e-05,5.424950017481403,0.0001457223062609166,1,1
bad,0.0001444194013198636,4.326337728813293,0.0006248071047027542,3,3
badenoch,0.0004349702802480282,4.326337728813293,0.0018818283343495358,4,3
baffle,0.00023185717597959656,5.424950017481403,0.0012578135908837011,1,1
ball,3.496259002866932e-05,5.424950017481403,0.00018967030338722476,1,1
ballot,5.372300419039433e-05,5.424950017481403,0.0002914446125218332,2,1
baltic,0.0004894762604013705,5.424950017481403,0.0026553842474211463,1,1
ban,0.0010720147089672873,4.326337728813293,0.004637897681247977,4,3
band,0.00023185717597959656,5.424950017481403,0.0012578135908837011,1,1
banerjee,0.0001943508681005442,5.424950017481403,0.001054343745299573,3,1
banking,0.0006293266205160478,5.424950017481403,0.0034140654609700455,1,1
banquet,0.00027533039647577095,5.424950017481403,0.0014936536391743952,1,1
bare,0.00012586532410320956,5.424950017481403,0.0006828130921940092,2,1
baron,0.000881057268722467,5.424950017481403,0.004779691645358065,1,1
barton,0.00022026431718061675,5.424950017481403,0.0011949229113395162,1,1
basic,6.384472961757008e-05,5.424950017481403,0.0003463544670549322,1,1
bastion,2.6861502095197165e-05,5.424950017481403,0.0001457223062609166,1,1
batter,3.9332913782252985e-05,5.424950017481403,0.00021337909131062785,1,1
battering,0.0002936857562408223,5.424950017481403,0.0015932305484526882,1,1
battery,8.81057268722467e-05,5.424950017481403,0.00047796916453580644,1,1
bbc,0.0011236985377053202,3.8155121050473024,0.0042874853730386015,5,5
bear,7.728572532653218e-05,5.424950017481403,0.00041927119696123365,1,1
beat,0.0004405286343612335,5.424950017481403,0.0023898458226790324,1,1
begin,0.0010646725650612669,4.326337728813293,0.004606133087056984,3,3
beginning,0.000978952520802741,4.7318028369214575,0.004632210315145822,2,2
beijing,0.00016569227448369375,4.7318028369214575,0.0007840231744579109,3,2
belfast,7.866582756450597e-05,5.424950017481403,0.0004267581826212557,2,1
belgium,0.0007342143906020558,5.424950017481403,0.00398307637113172,1,1
believe,0.0002491084539542689,4.7318028369214575,0.001178732089121928,2,2
belt,0.0005873715124816446,5.424950017481403,0.0031864610969053763,2,1
bengal,0.0006411370114725906,4.326337728813293,0.0027737752420724697,9,3
benjamin,7.866582756450597e-05,5.424950017481403,0.0004267581826212557,1,1
berlin,0.001039757025200427,4.326337728813293,0.00449834004692328,3,3
bexley,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
bharatiya,0.00021371233715753018,4.326337728813293,0.0009245917473574898,3,3
biennale,0.0005182689816014512,5.424950017481403,0.0028115833207988613,2,1
big,0.000865280253807356,3.8155121050473024,0.0033014872826603687,5,5
bill,0.000631424375917768,4.7318028369214575,0.0029877756532690554,4,2
billion,0.00018355359765051394,5.424950017481403,0.00099576909278293,1,1
birmingham,0.00024473813020068524,5.424950017481403,0.0013276921237105731,3,1
bjp,0.00036264105161487906,4.326337728813293,0.00156890766361798,5,3
blackout,0.0011013215859030838,5.424950017481403,0.005974614556697581,1,1
blame,0.0002591344908007256,5.424950017481403,0.0014057916603994307,1,1
block,0.00016943409013893597,5.424950017481403,0.0009191714702611663,1,1
blow,0.0002591344908007256,5.424950017481403,0.0014057916603994307,1,1
body,0.0002591344908007256,5.424950017481403,0.0014057916603994307,1,1
bogus,3.496259002866932e-05,5.424950017481403,0.00018967030338722476,1,1
bold,0.0005384238864415076,4.7318028369214575,0.0025477156733302022,2,2
bolsonaro,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
boo,6.384472961757008e-05,5.424950017481403,0.0003463544670549322,1,1
booty,0.00033886818027787193,5.424950017481403,0.0018383429405223325,1,1
border,0.0008769782998857889,4.7318028369214575,0.004149688407318133,3,2
brace,8.81057268722467e-05,5.424950017481403,0.00047796916453580644,1,1
brake,6.384472961757008e-05,5.424950017481403,0.0003463544670549322,1,1
branding,0.0001024485196188915,5.424950017481403,0.0005557780982974493,1,1
brazil,0.00017163453286801305,5.424950017481403,0.0009311087620827398,3,1
