term,average_tf
ukraine,0.021169488017764762
putin,0.015068649738253266
russian,0.014777861201063346
election,0.010160796240207982
war,0.009503203164297959
say,0.009493866278678419
russia,0.008438163259205544
labour,0.0076842534102153056
party,0.007594691834312252
reform,0.007513274154330436
