term,tf-idf
ukraine,0.035718862193432135
putin,0.031006070233811196
russian,0.027212412897160084
war,0.020592048842573558
russia,0.02008643654471336
force,0.018604962705207596
election,0.01843201059044617
attack,0.017836009337593692
region,0.017266977548342617
armed,0.0171049326907141
