term,idf
ukraine,1.6872803991980345
say,1.7873638577550168
election,1.8140321048371781
russian,1.8414310790252926
party,1.869601955991989
putin,2.057654187494929
labour,2.0927455073061987
war,2.1668534794599204
reform,2.206074192613202
result,2.333907564123087
